model,model_display,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,runs
lstm,LSTM-AE,0.42638610714285713,0.2852815360241904,0.5637567857142857,0.2718258039955078,0.38366996428571426,0.23529690727603148,28
gcn,GCN-AE,0.45346971428571425,0.3116776309105121,0.5630251428571429,0.2972469962825796,0.3796988571428571,0.2331697284951401,28
hier_hgnn,Improved HGNN-AE,0.37507703571428574,0.2883931710393119,0.6385955,0.25299791474290706,0.36470564285714285,0.24297747473776612,28
iforest,Isolation Forest,0.37607667857142857,0.267297596734988,0.32800821428571425,0.22125341841282314,0.2819973214285714,0.19985551569461257,28
