timestamp,model,machine,status,returncode,duration_sec,best_percentile,best_threshold,precision,recall,f1,pred_anomalies,true_anomalies,log_path,command,error
2026-04-20T16:58:45,iforest,machine-3-4,ok,0,2.112,99.0,0.514377,0.28739,0.186845,0.226459,682,1049,results/logs/iforest__machine-3-4.log,"python train_iforest.py --window 10 --stride 1 --smooth-k 5 --percentiles 99.0,99.5,99.9 --machine machine-3-4",
2026-04-20T16:58:48,iforest,machine-3-5,ok,0,2.154,99.9,0.641703,0.046312,0.462857,0.0842,5247,525,results/logs/iforest__machine-3-5.log,"python train_iforest.py --window 10 --stride 1 --smooth-k 5 --percentiles 99.0,99.5,99.9 --machine machine-3-5",
2026-04-20T16:58:50,iforest,machine-3-6,ok,0,2.102,99.5,0.573219,0.618685,0.691415,0.653031,1445,1293,results/logs/iforest__machine-3-6.log,"python train_iforest.py --window 10 --stride 1 --smooth-k 5 --percentiles 99.0,99.5,99.9 --machine machine-3-6",
2026-04-20T16:58:52,iforest,machine-3-7,ok,0,1.646,99.0,0.556486,0.122815,0.542797,0.200308,2117,479,results/logs/iforest__machine-3-7.log,"python train_iforest.py --window 10 --stride 1 --smooth-k 5 --percentiles 99.0,99.5,99.9 --machine machine-3-7",
2026-04-20T16:58:53,iforest,machine-3-8,ok,0,1.59,99.5,0.697708,0.464286,0.465263,0.464774,1428,1425,results/logs/iforest__machine-3-8.log,"python train_iforest.py --window 10 --stride 1 --smooth-k 5 --percentiles 99.0,99.5,99.9 --machine machine-3-8",
2026-04-20T16:58:55,iforest,machine-3-9,ok,0,1.598,99.9,0.588944,0.013756,0.469027,0.026727,11559,339,results/logs/iforest__machine-3-9.log,"python train_iforest.py --window 10 --stride 1 --smooth-k 5 --percentiles 99.0,99.5,99.9 --machine machine-3-9",
2026-04-20T16:58:57,lstm,machine-1-1,ok,0,36.079,99.9,3.659545,0.663238,0.629429,0.645891,2625,2766,results/logs/lstm__machine-1-1.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-1-1",
2026-04-20T16:59:33,lstm,machine-1-2,ok,0,29.457,99.0,2.12996,0.393298,0.352848,0.371977,567,632,results/logs/lstm__machine-1-2.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-1-2",
2026-04-20T17:00:02,lstm,machine-1-3,ok,0,36.562,99.0,0.602675,0.246799,0.458378,0.320848,1718,925,results/logs/lstm__machine-1-3.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-1-3",
2026-04-20T17:00:39,lstm,machine-1-4,ok,0,29.263,99.5,1.156543,0.325664,0.444444,0.375894,1130,828,results/logs/lstm__machine-1-4.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-1-4",
2026-04-20T17:01:08,lstm,machine-1-5,ok,0,29.069,99.9,2.320101,0.1566,0.858896,0.264901,894,163,results/logs/lstm__machine-1-5.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-1-5",
2026-04-20T17:01:37,lstm,machine-1-6,ok,0,29.323,99.9,3.284027,0.230452,0.942433,0.370345,16268,3978,results/logs/lstm__machine-1-6.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-1-6",
